"","A","B","Appearance","Ethics","Intelligence","Kindness","Wealth","compatibility"
"173","Gander","Hen",27.2727272727273,66.6666666666667,100,58.3333333333333,66.7994687915007,58.8932366184051
"174","Gander","Lioness",77.5,23.0769230769231,100,42.3076923076923,100,59.6732633057834
"175","Gander","Mare",45.4545454545455,23.0769230769231,100,42.3076923076923,100,53.6333484462274
"176","Gander","Pen",72.5,37.5,100,58.3333333333333,72.2222222222222,64.8322931515543
"177","Gander","Ram",67.5,60,100,70.8333333333333,66.7994687915007,71.8609811205636
"178","Gander","Rooster",72.5,63.6363636363636,100,51.9230769230769,100,75.1416550332879
"179","Gander","Tigress",75.1923076923077,37.5,100,51.9230769230769,100,68.0946544549364
"180","Gander","Whale",72.5,33.3333333333333,100,58.3333333333333,100,67.5813260675197
"181","Goose","Boar",97.7272727272727,79.1666666666667,100,83.3333333333333,100,91.5957616806828
"182","Goose","Buck",94.4444444444444,90,87.5,100,100,94.2508760800187
"183","Goose","Bull",79.1666666666667,100,87.5,100,58.3333333333333,83.4244671197518
"184","Goose","Cob",100,90,87.5,90,58.3333333333333,83.8073239008136
"185","Goose","Cow",66.6666666666667,100,100,90,100,90.2880451447434
"186","Goose","Doe",87.5,100,87.5,83.3333333333333,75,86.2937266495021
"187","Goose","Dog",66.6666666666667,96.6666666666667,100,90,100,89.677934884921
"188","Goose","Drake",100,96.6666666666667,99.5098039215686,100,100,99.2266941844292
"189","Goose","Duck",79.1666666666667,100,95.8333333333333,60.1593625498008,72.2222222222222,80.0952212358541
"190","Goose","Gander",80,27.8846153846154,100,42.3076923076923,67.9487179487179,57.7312618270197
"191","Goose","Hen",39.3939393939394,75.9615384615385,100,83.3333333333333,100,75.7475139336717
"192","Goose","Lioness",87.5,90,80,90,83.3333333333333,86.0756602282385
"193","Goose","Mare",69.6969696969697,90,87.5,90,83.3333333333333,83.7346374740678
"194","Goose","Pen",79.1666666666667,100,100,83.3333333333333,100,92.0178798528601
"195","Goose","Ram",87.5,99.2307692307692,87.5,61.5384615384615,100,85.8938006122316
"196","Goose","Rooster",79.1666666666667,50.199203187251,99.5098039215686,90,83.3333333333333,78.4211602325378
"197","Goose","Tigress",75.9615384615385,100,95.8333333333333,100,100,93.8473619827388
"198","Goose","Whale",79.1666666666667,96.6666666666667,80,100,100,90.6529242305997
"199","Hen","Boar",62.5,100,100,100,100,91.028210151304
"200","Hen","Buck",34.640522875817,61.5384615384615,79.1666666666667,83.3333333333333,100,67.5489242925396
"201","Hen","Bull",26.4705882352941,79.1666666666667,79.1666666666667,83.3333333333333,50.9803921568627,58.8320589027
"202","Hen","Cob",34.640522875817,61.5384615384615,79.1666666666667,83.3333333333333,50.9803921568627,59.0335732811415
"203","Hen","Cow",21.5686274509804,87.5,100,83.3333333333333,100,69.0764266421016
"204","Hen","Doe",31.8181818181818,87.5,79.1666666666667,100,54.5454545454545,65.4631452046312
"205","Hen","Dog",21.5686274509804,66.6666666666667,100,83.3333333333333,100,65.4199188080891
"206","Hen","Drake",39.3939393939394,66.6666666666667,97.7272727272727,83.3333333333333,100,73.4572282720757
"207","Hen","Duck",26.4705882352941,97.7272727272727,87.5,75.4901960784314,67.3202614379085,64.8880546795533
"208","Hen","Gander",27.2727272727273,66.6666666666667,100,58.3333333333333,66.7994687915007,58.8932366184051
"209","Hen","Goose",39.3939393939394,75.9615384615385,100,83.3333333333333,100,75.7475139336717
"210","Hen","Lioness",31.8181818181818,61.5384615384615,66.6666666666667,83.3333333333333,69.6969696969697,59.6970234014448
"211","Hen","Mare",75,61.5384615384615,79.1666666666667,83.3333333333333,69.6969696969697,73.3426472547575
"212","Hen","Pen",26.4705882352941,79.1666666666667,100,100,100,73.1578932252175
"213","Hen","Ram",31.8181818181818,80,79.1666666666667,79.1666666666667,100,69.2739597496796
"214","Hen","Rooster",26.4705882352941,69.6969696969697,97.7272727272727,100,69.6969696969697,66.0452263231563
"215","Hen","Tigress",25.2988047808765,79.1666666666667,87.5,100,100,70.5878709793201
"216","Hen","Whale",26.4705882352941,66.6666666666667,66.6666666666667,100,100,65.1802789631377
"217","Lioness","Boar",100,66.6666666666667,83.3333333333333,83.3333333333333,100,85.725346612584
"218","Lioness","Buck",91.6666666666667,100,100,90,94.4444444444444,95.1318785955834
"219","Lioness","Bull",100,83.3333333333333,90,90,79.1666666666667,88.2204414057346
"220","Lioness","Cob",95.8333333333333,90,80,80,73.6111111111111,83.5173085462191
"221","Lioness","Cow",79.1666666666667,80.7692307692308,60.7843137254902,80,100,79.1651359919786
"222","Lioness","Doe",87.5,80.7692307692308,90,83.3333333333333,87.5,85.7560291522966
"223","Lioness","Dog",79.1666666666667,100,100,80,100,91.269667682899
"224","Lioness","Drake",87.5,100,80.3921568627451,90,100,91.2626023733483
"225","Lioness","Duck",100,80.0796812749004,83.3333333333333,60.1593625498008,100,83.3160866813658
"226","Lioness","Gander",77.5,23.0769230769231,100,42.3076923076923,100,59.6732633057834
"227","Lioness","Goose",87.5,90,80,90,83.3333333333333,86.0756602282385
"228","Lioness","Hen",31.8181818181818,61.5384615384615,66.6666666666667,83.3333333333333,69.6969696969697,59.6970234014448
"229","Lioness","Mare",54.5454545454545,100,90,80,100,82.9503479961507
"230","Lioness","Pen",95.8333333333333,83.3333333333333,60.7843137254902,83.3333333333333,94.4444444444444,82.4943884278545
"231","Lioness","Ram",87.5,80.7692307692308,90,61.5384615384615,69.6969696969697,77.1207790474949
"232","Lioness","Rooster",95.8333333333333,40.2390438247012,80.3921568627451,90,100,77.4683109916629
"233","Lioness","Tigress",100,83.3333333333333,83.3333333333333,100,100,92.9667184774857
"234","Lioness","Whale",95.8333333333333,83.3333333333333,90,100,100,93.6085615277429
